标题： 小谢尔顿就播了1集，昨天没更新，是不是被砍了？ 	 链接：http://tieba.baidu.com//p/5366376262 	 发帖人：---- 	 发帖时间：10-11 	 回复数量： 19 
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。 	 链接：http://tieba.baidu.com//p/1467102489 	 发帖人：---- 	 发帖时间：2014-02 	 回复数量： 37 
标题： 大家觉得生活大爆炸至今哪个片段最好笑? 	 链接：http://tieba.baidu.com//p/4390582638 	 发帖人：---- 	 发帖时间：2016-03 	 回复数量： 10 
标题： 现在是不是不让分享了？ 	 链接：http://tieba.baidu.com//p/5371224558 	 发帖人：---- 	 发帖时间：03:21 	 回复数量： 0 
标题： 《生活大爆炸》将迎来第十一季？ 	 链接：http://tieba.baidu.com//p/4725808140 	 发帖人：---- 	 发帖时间：2016-08 	 回复数量： 233 
标题： ❤️【分享】生活大爆炸全季超清中英字幕 	 链接：http://tieba.baidu.com//p/5338379022 	 发帖人：---- 	 发帖时间：9-23 	 回复数量： 50 
标题： 【资源贴】生活大爆炸1-11季，中英字幕 	 链接：http://tieba.baidu.com//p/5370427957 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 5 
标题： 你们大学里都有人看生活大爆炸吗 	 链接：http://tieba.baidu.com//p/5370847419 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 1 
标题： 莫非只有我一个人觉得十一季没有以前好看了吗 	 链接：http://tieba.baidu.com//p/5367356100 	 发帖人：---- 	 发帖时间：10-12 	 回复数量： 5 
标题： 谢耳朵与莱纳冷战 	 链接：http://tieba.baidu.com//p/5298074130 	 发帖人：---- 	 发帖时间：8-30 	 回复数量： 0 
标题： 分享一个背四六级词汇的好方法 	 链接：http://tieba.baidu.com//p/5369699006 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 0 
标题： 【资原贴】生活大爆炸1-11季 中英字幕！ 	 链接：http://tieba.baidu.com//p/5368170849 	 发帖人：---- 	 发帖时间：10-12 	 回复数量： 221 
标题： Raj是做了什么孽哦，又被编剧弄个大妈女友，儿子都19了 	 链接：http://tieba.baidu.com//p/4857671742 	 发帖人：---- 	 发帖时间：2016-11 	 回复数量： 14 
标题： 好嫩啊 	 链接：http://tieba.baidu.com//p/5314779555 	 发帖人：---- 	 发帖时间：9-9 	 回复数量： 17 
标题： 分享一个背四六级词汇的好方法 	 链接：http://tieba.baidu.com//p/5370723144 	 发帖人：---- 	 发帖时间：10-13 	 回复数量： 0 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：---- 	 发帖时间：2014-10 	 回复数量： 5405 
标题： 不得不看，真的爱，谢耳朵还给配音， 	 链接：http://tieba.baidu.com//p/5345126944 	 发帖人：---- 	 发帖时间：9-27 	 回复数量： 34 
标题： 生活大爆炸是不是一般都是男人在看，很少有女人看的？ 	 链接：http://tieba.baidu.com//p/5363290168 	 发帖人：---- 	 发帖时间：10-9 	 回复数量： 25 
